"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
52,1,1,0,0,0,0,0,1,0,0,0,0,2.3,NA,FOCE_I,NA,1237.96,0,10558.672235290751,1.31809,4.63542,0.212432,1.87542,5.5824,-0.125993,0.588372,0.46409,0.290134,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,1571.19,0,9922.8284391635934,1.31201,4.28718,0.207285,1.92638,6.27158,-0.127971,0.574297,0.359138,0.292726,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,1468.97,0,10610.085786502710,1.51843,4.66904,0.240027,2.36084,6.98637,-0.128354,0.668049,0.375654,0.305835,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,1,0,0,0,0,1,1,2,1,0,0,NA,NA,FOCE_I,NA,2291.51,0,9872.0748158302449,1.59019,4.99106,0.0565035,2.34433,6.51923,-0.139871,0.585601,0.22526,0.298877,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,1,0,0,0,0,0,1,0,0,0,0,1.7,NA,FOCE_I,NA,1669.45,0,11645.563348023121,1.30288,4.35783,0.513565,2.5924,7.2767,-0.124055,0.614862,0.44533,0.275189,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,986.71,0,10078.275421286791,1.48935,4.63142,0.228503,1.9626,5.83318,-0.129379,0.511795,0.378526,0.280525,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,1246.7,0,9896.4717597258496,1.42286,4.77263,0.154817,1.87829,6.12102,-0.126622,0.389066,0.410953,0.284078,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,1720.34,0,11158.324795471044,1.30325,5.09189,0.208114,1.93018,4.18043,-0.128969,0.530206,0.268875,0.27454,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,1,0,0,0,0,1,1,3,1,0,0,NA,NA,FOCE_I,NA,2959.27,0,10425.770308924735,1.65823,4.5636,0.220549,2.3628,7.9778,-0.137132,0.566692,0.420492,0.305334,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,1,0,0,0,0,1,1,9,1,1,0,NA,NA,FOCE_I,NA,6851.15,0,10305.496985906799,1.41413,4.55143,0.348083,2.24495,4.3545,-0.139871,0.66596,0.449166,0.301272,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,1705.16,0,9726.6748475073964,1.4084,4.658,0.154904,2.13741,6.95378,-0.126325,0.672484,0.434132,0.292199,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,1,0,0,0,0,1,1,2,1,1,0,NA,NA,FOCE_I,NA,2989.63,0,11394.738037615398,1.40497,4.39665,0.43799,3.07873,1.53331,-0.139871,0.526306,0.360001,0.273392,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,1806.16,0,12186.731836389654,1.23776,4.46049,0.406466,2.72579,1.73605,-0.126064,0.598799,0.419355,0.277294,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,1,0,0,0,0,0,1,0,0,0,0,2.4,NA,FOCE_I,NA,4005.79,0,10416.075630801310,1.39004,4.94399,0.290084,1.9508,4.39008,-0.131724,0.682061,0.402968,0.29663,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2070.27,0,10789.622280716922,1.46384,4.68662,0.268378,2.43447,3.77287,-0.125271,0.641225,0.459142,0.29682,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,1,0,0,0,0,0,1,0,0,1,0,1.3,NA,FOCE_I,NA,688.36,0,10988.213491468190,1.32301,4.65516,0.215576,1.98257,6.95853,-0.12749,0.496555,0.397895,0.271076,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,934.93,0,9635.7298255724327,1.39119,5.10653,0.236581,2.0654,6.00057,-0.128086,0.652862,0.494713,0.292165,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,1,0,0,0,0,1,1,4,1,0,0,NA,NA,FOCE_I,NA,1881.02,0,10842.456053645135,1.42299,4.21516,0.355545,1.98806,7.9778,-0.126706,0.70869,0.415714,0.301127,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
