"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
485,5,85,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.134877685005,0.97958692404427,0.612752937868646,0.0433662273373639,14.1297266442337,0.000124752793657851,1,429,1.3516,4.62954,0.171149,1.73202,5.82357,-0.127249,0.65973,0.385945,0.297396,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,5,86,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.090842143698,1.93555138273769,0.37992717423859,0.0933019413129778,4.07201789043315,3.5952260114218e-05,0,0,1.43079,4.3792,0.24016,2.12697,6.19694,-0.1264,0.613391,0.411584,0.28568,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,5,87,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.230265590735,7.07497482977487,0.029086317194425,0.00123261404584343,23.5972624947027,0.000208342630612261,0,0,1.30745,5.17114,0.255508,2.34647,5.12913,-0.127277,0.624537,0.400511,0.270035,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,5,88,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.977356503461,4.82206574250085,0.089722574828657,0.0162837855055264,5.5099334732828,4.86477630437001e-05,0,0,1.42629,4.67257,0.216907,1.93711,5.83339,-0.128781,0.434805,0.39929,0.287535,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,5,89,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.670181406653,4.5148906456925,0.104617407359521,0.00939454004617986,11.1359797121799,9.8320697504686e-05,0,0,1.44355,4.37599,0.225596,2.16261,6.15412,-0.124136,0.638423,0.323133,0.297037,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,5,90,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.593027363086,5.43773660212537,0.0659493470161994,0.0148330322214843,4.44611364901357,3.92551896155121e-05,0,0,1.35185,4.88162,0.218886,1.93358,6.1708,-0.126678,0.74203,0.468659,0.303679,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,5,91,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.337984590258,7.18269382929793,0.0275611828506361,0.00999267642242519,2.75813822899182,2.43518829503802e-05,0,0,1.2889,4.70333,0.203386,1.87255,5.47999,-0.128003,0.537348,0.499472,0.307335,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,5,92,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.792625501483,1.63733474052242,0.441018978082211,0.136619167029447,3.22809008187815,2.85011356576985e-05,0,0,1.38402,4.66817,0.251036,2.05869,5.99401,-0.127727,0.588843,0.323271,0.292314,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,5,93,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.721412659686,2.56612189872612,0.277187543550366,0.00932848588038165,29.7140979902546,0.000262348793337781,1,480,1.30313,4.51132,0.250977,2.19643,6.48078,-0.127139,0.608718,0.371337,0.283584,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,5,94,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.068547419451,0.913256658490354,0.633415718416606,0.159081671519415,3.98170142648583,3.51548468680583e-05,0,0,1.43299,4.97371,0.210641,1.97463,5.72029,-0.128263,0.625807,0.378811,0.296075,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,5,95,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.499286818769,2.34399605780891,0.309747438244415,0.0673614236314439,4.59829115161139,4.05987802637218e-05,1,212,1.42547,4.64422,0.204896,2.01132,5.72978,-0.124934,0.615473,0.362596,0.302961,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,5,96,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.846064090889,2.69077332992856,0.260438985757251,0.0313987162268491,8.2945743346841,7.32336404311716e-05,1,460,1.49454,4.76939,0.224346,2.17391,5.57548,-0.128641,0.716907,0.34069,0.289951,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,5,97,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.678052981255,6.52276222029468,0.0383354160069279,0.00135224397470834,28.3494818419851,0.000250300458571396,1,243,1.39054,4.6086,0.227295,2.09246,6.45301,-0.126382,0.519448,0.486195,0.272668,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,5,98,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.684828971991,2.52953821103074,0.282304471161335,0.0114801634772675,24.5906316334556,0.000217113187772579,0,0,1.38676,4.61082,0.277895,2.60149,5.01427,-0.128196,0.613197,0.44727,0.283917,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,5,99,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.657095619055,4.50180485809506,0.10530415214454,0.0108919231621627,9.66809539295639,8.53605975536779e-05,0,0,1.43055,4.52275,0.25686,2.4294,4.91406,-0.127931,0.776069,0.442934,0.289297,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
